epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,regime,deploy_mix,mix_sufficient,mix_ambiguous,mix_insufficient
0.8175836666666666,0.2907626666666666,0.5805142166666667,0.04845237036378191,0.9515476296362181,0.1711718923179232,0.5413466666666666,scalar,same_as_training,0.4,0.3,0.3
0.8496633333333333,0.20054866666666665,0.5575617333333333,0.030952592724361825,0.9690474072756382,0.06219555190997331,0.46327,crs,same_as_training,0.4,0.3,0.3
0.8522116666666667,0.161782,0.5415183166666666,0.0,1.0,0.043499843443330306,0.4364766666666667,oracle,same_as_training,0.4,0.3,0.3
0.7472629999999999,0.6280546666666668,0.6936192500000001,0.048170588826030196,0.9518294111739698,0.18686341688035724,0.7890433333333333,scalar,easier,0.7,0.2,0.1
0.7862159999999999,0.508481,0.66123525,0.030930940983496802,0.9690690590165032,0.06868079302545786,0.6794233333333334,crs,easier,0.7,0.2,0.1
0.7885563333333333,0.4732869999999999,0.6466851333333332,0.0,1.0,0.04813365028785511,0.6548433333333333,oracle,easier,0.7,0.2,0.1
0.8417816666666667,0.14485466666666666,0.5281645166666668,0.04845237036378191,0.9515476296362181,0.14013230429988974,0.4232666666666667,scalar,ambiguous_heavy,0.2,0.5,0.3
0.8735966666666667,0.06650266666666668,0.5104043666666667,0.030952592724361825,0.9690474072756382,0.04885192885192885,0.36075,crs,ambiguous_heavy,0.2,0.5,0.3
0.8762806666666665,0.026607333333333337,0.49392766666666665,0.0,1.0,0.03303071856826849,0.33302333333333334,oracle,ambiguous_heavy,0.2,0.5,0.3
0.8756696666666668,0.022354000000000002,0.4916776166666667,0.04824819470446644,0.9517518052955336,0.15428882272102612,0.34928,scalar,harder,0.2,0.3,0.5
0.9023093333333333,-0.044836999999999995,0.4760934833333334,0.030763573147900507,0.9692364268520995,0.05409345160743545,0.2949833333333333,crs,harder,0.2,0.3,0.5
0.9045819999999999,-0.08601,0.4588156,0.0,1.0,0.037846888158634566,0.26677666666666666,oracle,harder,0.2,0.3,0.5
0.922252,-0.17239600000000002,0.4296604000000001,0.047866373240277066,0.9521336267597229,0.1462991133852702,0.21693,scalar,much_harder,0.1,0.2,0.7
0.9431069999999999,-0.22175033333333335,0.41892120000000005,0.03064746346889187,0.9693525365311081,0.04823360709164385,0.17899,crs,much_harder,0.1,0.2,0.7
0.9450193333333334,-0.26490166666666665,0.40055488333333344,0.0,1.0,0.03461940913239976,0.14972333333333335,oracle,much_harder,0.1,0.2,0.7
