epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,regime,deploy_mix,seed
0.7865475000000001,0.32430749999999997,0.5785395000000001,0.04279015240328253,0.9572098475967175,0.16347450141787923,0.537775,0.14675922862674431,scalar,same_as_training,0
0.8510137500000001,0.20647624999999997,0.560971875,0.028261597722324568,0.9717384022776754,0.06519636812980176,0.465325,0.029834029672264447,crs,same_as_training,0
0.6891900000000001,0.692005,0.6904567500000001,0.04255861365953109,0.9574413863404689,0.17995773551329106,0.7867125,0.17024180062457625,scalar,easier,0
0.7870524999999999,0.5228287500000001,0.6681518125,0.027140672782874617,0.9728593272171254,0.0725898953117888,0.6865625,0.03576072365075084,crs,easier,0
0.8249175,0.1643225,0.5276497499999999,0.04279015240328253,0.9572098475967175,0.1364521841794569,0.4235,0.10921563013352094,scalar,ambiguous_heavy,0
0.87305625,0.06993125,0.51165,0.028261597722324568,0.9717384022776754,0.051623589495841816,0.3622375,0.019048601915603317,crs,ambiguous_heavy,0
0.8603550000000001,0.040535,0.49143600000000004,0.04279568269303344,0.9572043173069665,0.14789717113047218,0.3486375,0.1225453631843999,scalar,harder,0
0.90174125,-0.03981124999999999,0.47804262500000005,0.028278863813621154,0.9717211361863789,0.057667268679910955,0.2976125,0.022173040111358528,crs,harder,0
0.91633,-0.16637125,0.42911443750000017,0.04268390691693605,0.957316093083064,0.13947261190989,0.2147375,0.10403649080293541,scalar,much_harder,0
0.9432275000000001,-0.22158874999999997,0.4190601875,0.02798564106227564,0.9719964995624453,0.051878229297584136,0.179025,0.01596722128254339,crs,much_harder,0
0.7788450000000001,0.32417125,0.5742418125000001,0.040487176289645425,0.9595128237103546,0.17260051127120613,0.537875,0.15762426212820935,scalar,same_as_training,1
0.8485099999999999,0.19161875,0.5529089374999999,0.024317246539468762,0.9756411855177287,0.08016662187583982,0.465125,0.03998922280121923,crs,same_as_training,1
0.6785675,0.69086,0.6840991250000001,0.03978978978978979,0.9602102102102102,0.18839750011926912,0.7860375,0.1802471514916833,scalar,easier,1
0.7823537500000001,0.5034375,0.6568414375,0.025525525525525526,0.9744744744744744,0.0903146340138026,0.6900875,0.04603699412448564,crs,easier,1
0.820925,0.16101875,0.5239671875,0.040487176289645425,0.9595128237103546,0.14311567330228142,0.4213375,0.11744671635124525,scalar,ambiguous_heavy,1
0.8737737499999999,0.053951250000000006,0.504853625,0.024317246539468762,0.9756411855177287,0.057343640196767395,0.35575,0.02836175608045872,crs,ambiguous_heavy,1
0.857,0.03704375000000001,0.4880196875000001,0.04131093362709997,0.9586890663729001,0.15525641488325093,0.3463625,0.13150729380285783,scalar,harder,1
0.90206375,-0.05395,0.4718575625000001,0.02508700332991162,0.9748879597406174,0.0658575152784307,0.2924875,0.032174950452477424,crs,harder,1
0.9148225,-0.16742374999999998,0.42781168750000015,0.04223111841870108,0.9577688815812989,0.1441757214627877,0.213975,0.11118155178701898,scalar,much_harder,1
0.9428987499999999,-0.22859375,0.4157271250000001,0.02630732387318154,0.973674804303535,0.05940313319628553,0.1763375,0.027894289910806228,crs,much_harder,1
0.7841600000000001,0.32598875,0.5779829375000001,0.04151624548736462,0.9584837545126353,0.1665275071899063,0.53895,0.15021108502228595,scalar,same_as_training,2
0.8516912499999999,0.2019825,0.5593223125,0.02669801024263286,0.9733019897573671,0.07073894787515712,0.4673875,0.03171178965848707,crs,same_as_training,2
0.68815,0.69549375,0.6914546875,0.04441913439635535,0.9555808656036446,0.1816151665373224,0.7892375,0.17304421245038357,scalar,easier,2
0.7875875,0.5199487500000001,0.6671500625000001,0.02898000506200962,0.9710199949379904,0.0816091125369476,0.69355,0.0398714973117947,crs,easier,2
0.8255075000000001,0.16470875000000001,0.5281480625,0.04151624548736462,0.9584837545126353,0.13651917404129793,0.42375,0.10906830215659424,scalar,ambiguous_heavy,2
0.87464125,0.06763500000000001,0.5114884375,0.02669801024263286,0.9733019897573671,0.05326217937682906,0.3630625,0.022894429697431825,crs,ambiguous_heavy,2
0.8625625,0.037568750000000005,0.4913153125,0.04094633756370541,0.9590536624362946,0.14726447055431413,0.346825,0.12206600278533924,scalar,harder,2
0.9038362499999999,-0.04497499999999999,0.47687118750000007,0.025931847706605376,0.9740681522933946,0.06019630144487973,0.2967375,0.025026293564141253,crs,harder,2
0.9181549999999999,-0.16730875,0.4296963125000001,0.040422139004855674,0.9595778609951443,0.13619904216797102,0.214025,0.10159050113435163,scalar,much_harder,2
0.9438225,-0.22309,0.41871187500000007,0.025675942018598484,0.9743240579814015,0.053439374912794754,0.179175,0.023419104844359866,crs,much_harder,2
0.7819675,0.32400999999999996,0.575886625,0.03990386607549828,0.9600961339245018,0.16928905106096173,0.5378375,0.15398644415737664,scalar,same_as_training,3
0.8501850000000001,0.19965625,0.5574470625,0.02577383665520242,0.9742261633447976,0.05741366161891274,0.45895,0.02396470908904243,crs,same_as_training,3
0.6832325,0.6884399999999999,0.685575875,0.040947212629501725,0.9590527873704983,0.18514150943396226,0.7844,0.17633262679057413,scalar,easier,3
0.7837512500000001,0.50773125,0.6595422500000001,0.02503700049333991,0.9749629995066601,0.06441301640989426,0.6726125,0.02947107564136492,crs,easier,3
0.8225375,0.1649,0.526600625,0.03990386607549828,0.9600961339245018,0.14091645793428614,0.4241875,0.11476611342536712,scalar,ambiguous_heavy,3
0.874165,0.06791625000000001,0.5113530625,0.02577383665520242,0.9742261633447976,0.04552873762806043,0.3599375,0.014990013124187882,crs,ambiguous_heavy,3
0.8597899999999999,0.037736250000000006,0.4898658125,0.04126533761417656,0.9587346623858234,0.15162974968485504,0.3470625,0.1272228374479146,scalar,harder,3
0.9030475,-0.04575624999999999,0.4760858125,0.026481495308494488,0.9735185046915055,0.05031177927735543,0.292675,0.017278678179074664,crs,harder,3
0.91669,-0.16743875,0.42883206250000006,0.04206016245648487,0.9579398375435151,0.1399369232566289,0.214025,0.10557378620794755,scalar,much_harder,3
0.94370125,-0.22412999999999997,0.4181771875000001,0.027082031598678925,0.972917968401321,0.04466308040770102,0.1766,0.014683361104838453,crs,much_harder,3
0.7830674999999999,0.3258725,0.5773297500000001,0.04279570790363659,0.9572042920963634,0.1680118749420169,0.53895,0.15301251717358139,scalar,same_as_training,4
0.85098125,0.1919925,0.5544363125,0.025176401820383283,0.9748235981796167,0.05014350369797991,0.45295,0.016636072763762725,crs,same_as_training,4
0.6859125,0.69481875,0.6899203125,0.04320909665192672,0.9567909033480733,0.18333808754080694,0.788775,0.17472628633388929,scalar,easier,4
0.78894625,0.5044424999999999,0.6609195625000001,0.02488945041061276,0.9751105495893873,0.05505529816170976,0.6691,0.019713566657526323,crs,easier,4
0.823525,0.1644875,0.526958125,0.04279570790363659,0.9572042920963634,0.1394642119549183,0.423675,0.11400196430836225,scalar,ambiguous_heavy,4
0.8744987499999999,0.0577875,0.5069786875,0.025176401820383283,0.9748235981796167,0.03940694498634413,0.3524125,0.010390659574099105,crs,ambiguous_heavy,4
0.859325,0.03758125000000001,0.4895403125000001,0.042412888722367925,0.9575871112776321,0.15214648740222758,0.3467875,0.12792662863575807,scalar,harder,4
0.90341875,-0.054417499999999994,0.47239243750000004,0.02487823154739603,0.9750967903084801,0.04340232294122784,0.286275,0.010950495664895329,crs,harder,4
0.91565,-0.16789375,0.42805531250000006,0.04169420675610497,0.958305793243895,0.14261479964902019,0.2136875,0.10828973347656187,scalar,much_harder,4
0.94404625,-0.23076999999999998,0.4153789375000001,0.024580646313796244,0.9754014898444059,0.039037510904332655,0.17195,0.009844733309575197,crs,much_harder,4
