,epistemic_utility,epistemic_utility,smoothness_utility,smoothness_utility,aggregate_scalar_reward,aggregate_scalar_reward,unsupported_certainty_rate,unsupported_certainty_rate,calibrated_abstention_rate,calibrated_abstention_rate,selective_risk,selective_risk,coverage,coverage,ece,ece,seed,seed,final_lambda,final_lambda
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
regime,,,,,,,,,,,,,,,,,,,,
crs,0.8423,0.0090255740900134,0.20891333333333334,0.01919429056056661,0.5572760000000001,0.007898962863628792,0.025882021419829565,0.007154399255541193,0.9741179785801704,0.007154399255541194,0.060125178192850424,0.032057040415135594,0.45986666666666665,0.020102944935051895,0.034164492699852195,0.016014881553607932,4.5,3.0276503540974917,4.762149857954546,0.3828001021934514
oracle,0.8202999999999999,0.020037403296440322,-0.008146666666666668,0.12583746444040472,0.447499,0.06702510032963421,0.002895455966169351,0.005364151892425527,0.9959789334552372,0.0052334459284421875,0.1016949759156566,0.03484636858749627,0.4328666666666667,0.013539334557019927,0.06721617521313657,0.014451052252241895,4.5,3.0276503540974917,0.0,0.0
scalar,0.7797066666666667,0.00961969173808613,0.32458,0.013225006242851306,0.5748996666666667,0.007486509587415821,0.03476762131667898,0.00710936988185964,0.9652323786833211,0.0071093698818596235,0.17005874916007585,0.009263751467935333,0.5382666666666667,0.009238673412333243,0.13620953732812466,0.0070446532436563665,4.5,3.0276503540974917,0.0,0.0
