epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,regime,noise_p,seed
0.793,0.30391666666666667,0.5729125,0.03494623655913978,0.9650537634408602,0.16057233704292528,0.5241666666666667,0.12269237967503016,scalar,0.0,0
0.86,0.17875,0.5534375,0.024193548387096774,0.9758064516129032,0.02681992337164751,0.435,0.019187698612371143,crs,0.0,0
0.7921666666666666,0.3114166666666667,0.5758291666666667,0.023936170212765957,0.976063829787234,0.16352201257861634,0.53,0.1280001232198874,scalar,0.0,1
0.8508333333333333,0.20875,0.5618958333333334,0.023936170212765957,0.976063829787234,0.043795620437956206,0.45666666666666667,0.014836017792075176,crs,0.0,1
0.7821666666666667,0.33641666666666664,0.5815791666666666,0.01977401129943503,0.980225988700565,0.16615853658536586,0.5466666666666666,0.12489370108069055,scalar,0.0,2
0.8476666666666667,0.20783333333333331,0.5597416666666667,0.011299435028248588,0.9887005649717514,0.0347985347985348,0.455,0.015187759592918106,crs,0.0,2
0.8108333333333333,0.3095833333333333,0.5852708333333334,0.03197674418604651,0.9680232558139535,0.14240506329113925,0.5266666666666666,0.10520287404687095,scalar,0.0,3
0.86425,0.1895833333333333,0.56065,0.020348837209302327,0.9796511627906976,0.03717472118959108,0.4483333333333333,0.024772622943724038,crs,0.0,3
0.7871666666666666,0.34058333333333335,0.5862041666666667,0.024861878453038673,0.9751381215469613,0.1606060606060606,0.55,0.12653452943164806,scalar,0.0,4
0.8491666666666666,0.23083333333333333,0.5709166666666667,0.022099447513812154,0.9779005524861878,0.045936395759717315,0.4716666666666667,0.027846151836790723,crs,0.0,4
0.8125,0.32208333333333333,0.5918125,0.022284122562674095,0.9777158774373259,0.14285714285714285,0.5366666666666666,0.11162873349969793,scalar,0.0,5
0.871,0.21324999999999997,0.5750125,0.011142061281337047,0.9888579387186629,0.025408348457350273,0.45916666666666667,0.01376569760025304,crs,0.0,5
0.7913333333333332,0.30766666666666664,0.5736833333333334,0.031161473087818695,0.9688385269121813,0.1600633914421553,0.5258333333333334,0.1265054341704316,scalar,0.0,6
0.8538333333333332,0.19183333333333333,0.5559333333333334,0.019830028328611898,0.9801699716713881,0.03007518796992481,0.44333333333333336,0.009908683692553964,crs,0.0,6
0.7843333333333333,0.3340833333333333,0.5817208333333334,0.033426183844011144,0.9665738161559888,0.16666666666666666,0.545,0.12844466155437528,scalar,0.0,7
0.8495,0.2031666666666667,0.5586500000000001,0.025069637883008356,0.9749303621169917,0.033210332103321034,0.45166666666666666,0.009934161547327614,crs,0.0,7
0.7995000000000001,0.30816666666666664,0.5783999999999999,0.024128686327077747,0.9758713136729222,0.15639810426540285,0.5275,0.11658522593143175,scalar,0.0,8
0.8651666666666668,0.19825,0.5650541666666667,0.0160857908847185,0.9839142091152815,0.03896103896103896,0.44916666666666666,0.02499173284057806,crs,0.0,8
0.786,0.31116666666666665,0.5723250000000001,0.03783783783783784,0.9621621621621622,0.16692913385826771,0.5291666666666667,0.13608688631205834,scalar,0.0,9
0.8411666666666665,0.19441666666666668,0.5501291666666667,0.03513513513513514,0.9648648648648649,0.04299065420560748,0.44583333333333336,0.009416001427423569,crs,0.0,9
0.7821666666666666,0.34933333333333333,0.5873916666666666,0.03206997084548105,0.967930029154519,0.16516516516516516,0.555,0.12628712941290654,scalar,0.0,10
0.843,0.24183333333333332,0.5724750000000001,0.026239067055393587,0.9737609329446064,0.05574912891986063,0.47833333333333333,0.027636641283589086,crs,0.0,10
0.7915,0.36216666666666664,0.5983,0.043227665706051875,0.9567723342939481,0.155096011816839,0.5641666666666667,0.11928721017614384,scalar,0.0,11
0.8536666666666668,0.24649999999999997,0.5804416666666667,0.037463976945244955,0.962536023054755,0.03460207612456748,0.4816666666666667,0.016795369498476508,crs,0.0,11
0.8039999999999999,0.29800000000000004,0.5762999999999999,0.026041666666666668,0.9739583333333334,0.1536,0.5208333333333334,0.11785303176184274,scalar,0.0,12
0.8653333333333334,0.18941666666666668,0.5611708333333333,0.0234375,0.9765625,0.03383458646616541,0.44333333333333336,0.012416132737381642,crs,0.0,12
0.7865,0.3696666666666667,0.598925,0.023952095808383235,0.9760479041916168,0.1581259150805271,0.5691666666666667,0.12697062861467817,scalar,0.0,13
0.844,0.26466666666666666,0.5833,0.023952095808383235,0.9760479041916168,0.05227655986509275,0.49416666666666664,0.03187330079909231,crs,0.0,13
0.7726666666666667,0.362,0.5878666666666668,0.045714285714285714,0.9542857142857143,0.172821270310192,0.5641666666666667,0.13383309927498854,scalar,0.0,14
0.8481666666666666,0.259,0.5830416666666668,0.03428571428571429,0.9657142857142857,0.11954765751211632,0.5158333333333334,0.06135544942011204,crs,0.0,14
0.7965000000000001,0.29924999999999996,0.5727375000000001,0.03494623655913978,0.9650537634408602,0.1568,0.5208333333333334,0.11964819220576683,scalar,0.1,0
0.8554999999999999,0.19391666666666668,0.5577875,0.024193548387096774,0.9758064516129032,0.041121495327102804,0.44583333333333336,0.02050648265168616,crs,0.1,0
0.7956666666666666,0.30675,0.5756541666666667,0.023936170212765957,0.976063829787234,0.15822784810126583,0.5266666666666666,0.12168049612103904,scalar,0.1,1
0.8511666666666666,0.20525000000000002,0.5605041666666667,0.023936170212765957,0.976063829787234,0.04036697247706422,0.45416666666666666,0.014980149570894812,crs,0.1,1
0.7806666666666666,0.33758333333333335,0.5812791666666667,0.01977401129943503,0.980225988700565,0.167427701674277,0.5475,0.12338632089144408,scalar,0.1,2
0.8438333333333333,0.216,0.5613083333333333,0.011299435028248588,0.9887005649717514,0.0433996383363472,0.4608333333333333,0.029645567732541518,crs,0.1,2
0.8108333333333333,0.3095833333333333,0.5852708333333334,0.03197674418604651,0.9680232558139535,0.14240506329113925,0.5266666666666666,0.10406232118321267,scalar,0.1,3
0.8571666666666666,0.18683333333333335,0.5555166666666667,0.023255813953488372,0.9767441860465116,0.024667931688804556,0.43916666666666665,0.009498382814373159,crs,0.1,3
0.7871666666666666,0.34058333333333335,0.5862041666666667,0.024861878453038673,0.9751381215469613,0.1606060606060606,0.55,0.12696149479925925,scalar,0.1,4
0.8498333333333333,0.22966666666666669,0.5707583333333334,0.022099447513812154,0.9779005524861878,0.04424778761061947,0.4708333333333333,0.02222631336441327,crs,0.1,4
0.8155,0.31725,0.5912875000000001,0.016713091922005572,0.9832869080779945,0.140625,0.5333333333333333,0.10444095753642546,scalar,0.1,5
0.8703333333333334,0.21441666666666662,0.5751708333333333,0.011142061281337047,0.9888579387186629,0.02717391304347826,0.46,0.012000292463989037,crs,0.1,5
0.7965,0.303,0.5744250000000001,0.031161473087818695,0.9688385269121813,0.1547049441786284,0.5225,0.12147121880746947,scalar,0.1,6
0.8531666666666666,0.1955,0.5572166666666667,0.025495750708215296,0.9745042492917847,0.03177570093457944,0.44583333333333336,0.011642638736256834,crs,0.1,6
0.7831666666666667,0.3388333333333334,0.5832166666666667,0.036211699164345405,0.9637883008356546,0.16717325227963525,0.5483333333333333,0.12877702062450408,scalar,0.1,7
0.8491666666666666,0.20083333333333334,0.5574166666666668,0.025069637883008356,0.9749303621169917,0.03148148148148148,0.45,0.01179310703596625,crs,0.1,7
0.8003333333333335,0.3023333333333333,0.5762333333333334,0.024128686327077747,0.9758713136729222,0.15605095541401273,0.5233333333333333,0.11715275282209238,scalar,0.1,8
0.865,0.19708333333333333,0.5644375,0.0160857908847185,0.9839142091152815,0.03903345724907063,0.4483333333333333,0.026190144341796683,crs,0.1,8
0.7861666666666667,0.31233333333333335,0.5729416666666668,0.03783783783783784,0.9621621621621622,0.16666666666666666,0.53,0.1362266894097363,scalar,0.1,9
0.8393333333333332,0.20366666666666666,0.5532833333333333,0.032432432432432434,0.9675675675675676,0.05156537753222836,0.4525,0.02628630428259287,crs,0.1,9
0.7866666666666666,0.3433333333333333,0.5871666666666667,0.026239067055393587,0.9737609329446064,0.16187594553706505,0.5508333333333333,0.12348474709407081,scalar,0.1,10
