epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,w_s
0.8523058,0.1583062,0.8523058,0.0,1.0,0.04347425284389461,0.433912,0.0
0.851891,0.17809919999999999,0.81820141,0.023291378267142733,0.9767086217328572,0.0479464009989393,0.446874,0.05
0.8510008,0.1891992,0.7848206399999998,0.028025452296890272,0.9719745477031098,0.055154398895328895,0.454796,0.1
0.8492685999999999,0.2011166,0.7520458000000001,0.031170420016090532,0.9688295799839095,0.06782309265038201,0.46465,0.15
0.837959,0.24902739999999998,0.7201726799999999,0.03369703256005691,0.966302967439943,0.16143326986325082,0.51993,0.2
0.8361498,0.2549652,0.69085365,0.0359643348692478,0.9640356651307522,0.16225270669761857,0.522962,0.25
0.8338173999999999,0.26113959999999997,0.6620140600000001,0.038238286158817546,0.9617617138411825,0.16339454388572341,0.526162,0.3
0.8335572000000001,0.2617846,0.659166557,0.03849759639359304,0.9615024036064069,0.16351052069760638,0.526486,0.305
0.8332126,0.2624338,0.6562711720000001,0.03867046988344337,0.9613295301165566,0.1637182251647584,0.526832,0.31
0.832866,0.2630822,0.653384103,0.03889653521632458,0.9611034647836755,0.16392173823967948,0.527154,0.315
0.8325796000000001,0.26378139999999994,0.6505641759999999,0.039189090352994366,0.9608109096470057,0.16406140407414288,0.527522,0.32
0.8322478000000001,0.264405,0.6476988899999999,0.039375261803602415,0.9606247381963976,0.1642485534896234,0.527822,0.325
0.8319698000000001,0.2650532,0.6448873219999999,0.039568082234589325,0.9604319177654107,0.16438574036065648,0.528148,0.33
0.8316406,0.26568959999999997,0.6420470150000002,0.03976755164595509,0.9602324483540449,0.16454728492059886,0.528456,0.335
0.8313328000000001,0.2663926,0.639253132,0.03997367003769972,0.9600263299623003,0.16469502601960548,0.528832,0.34
0.8309012,0.267196,0.636422906,0.04020638435095978,0.9597936156490402,0.16492768848797706,0.529238,0.345
0.8305011999999999,0.26796240000000004,0.63361262,0.04053883336990272,0.9594611666300973,0.1651454789192455,0.52963,0.35
0.8301192,0.26871519999999993,0.6308207800000001,0.04077819666354165,0.9592218033364583,0.1653384048783433,0.530016,0.355
0.8297034000000001,0.26945680000000005,0.6280146240000001,0.04112394364324231,0.9588760563567577,0.16555931794357423,0.530396,0.36
0.8292766000000001,0.2702596,0.625235395,0.04145639266218525,0.9585436073378147,0.1657699205739175,0.530808,0.365
0.828805,0.271041,0.62243232,0.04168910697544532,0.9583108930245546,0.16602220657612848,0.531194,0.37
0.828391,0.2717788,0.6196614249999999,0.041988311092493964,0.958011688907506,0.16625530505974775,0.531568,0.375
0.827847,0.2726214,0.6168612719999998,0.042314111131058055,0.9576858888689419,0.1665526290066693,0.531988,0.38
0.827339,0.27343180000000006,0.614084728,0.04260666626772784,0.9573933337322722,0.16681568191380658,0.532384,0.385
0.8268464,0.2742834,0.61134683,0.04296571120818622,0.9570342887918137,0.16706955444615443,0.53282,0.39
0.8263012000000001,0.275139,0.6085921310000001,0.043271564305613734,0.9567284356943863,0.16735367477448757,0.53323,0.395
0.8256513999999999,0.2760672,0.6058177200000001,0.04361066230493554,0.9563893376950645,0.16770537818968134,0.533674,0.4
0.825032,0.2770278,0.6030902990000001,0.04397635622577278,0.9560236437742272,0.16801461778097293,0.534144,0.405
0.8242792,0.27797819999999995,0.60029579,0.04432210320547344,0.9556778967945265,0.1684542492340268,0.534614,0.41
0.8236508,0.2788532,0.5975597959999999,0.04462130732252209,0.9553786926774779,0.16875820071998116,0.535014,0.415
0.8229552000000001,0.279796,0.5948283360000002,0.044913862459191885,0.9550861375408081,0.16911998147408053,0.535466,0.42
0.8221628000000001,0.280831,0.592096785,0.045266258419271406,0.9547337415807285,0.16953263773827115,0.535944,0.425
0.821271,0.281931,0.5893548000000001,0.045678495202760655,0.9543215047972393,0.17000652437319413,0.53645,0.43
0.8202773999999999,0.28318740000000003,0.58664325,0.04609073198624991,0.9539092680137501,0.17052297585663692,0.537042,0.435
0.8193744,0.2843838,0.5839785359999999,0.046369989162161986,0.953630010837838,0.17095457606435027,0.537558,0.44
0.8183858,0.28563780000000005,0.5813129399999999,0.04674233206337808,0.9532576679366219,0.17139883662584326,0.53809,0.445
0.8172164000000001,0.2870424,0.5786380999999999,0.04729419743482337,0.9527058025651767,0.17198417000170774,0.538724,0.45
0.8160948,0.288423,0.5760041309999999,0.047699785237933764,0.9523002147620663,0.17248028955624614,0.539308,0.455
0.8148662,0.289931,0.573396008,0.04816521386445389,0.9518347861355461,0.17301095742237566,0.539908,0.46
0.8132162000000001,0.2917856,0.570750971,0.04869048331438374,0.9513095166856163,0.17377842390882153,0.540654,0.465
0.811477,0.2937456,0.568143242,0.049209103783934734,0.9507908962160653,0.17456365550486674,0.54143,0.47
0.8095832000000001,0.2958456,0.56555784,0.049794214057274314,0.9502057859427256,0.17534663946913165,0.542206,0.475
0.8074608000000001,0.2981932,0.5630123520000001,0.05036602636985618,0.9496339736301438,0.17615492558312554,0.543022,0.48
0.8048472,0.3010216,0.560491784,0.05089794480016489,0.9491020551998351,0.1770267189327136,0.543884,0.485
0.801439,0.3046586,0.558016604,0.0516891734652491,0.9483108265347509,0.17797437685841194,0.54482,0.49
0.7960024,0.3102396,0.555549814,0.052533593973364184,0.9474664060266358,0.17917239105347035,0.54591,0.495
0.7689348,0.33734260000000005,0.5531387000000001,0.05337801448147927,0.9466219855185207,0.1804494234130147,0.547012,0.5
0.7672072,0.3390644,0.550995086,0.054395308479444675,0.9456046915205554,0.18179198132136734,0.54822,0.505
0.7651652,0.34098340000000005,0.548832482,0.055452496359683245,0.9445475036403168,0.18339131827180621,0.549568,0.51
0.7628204000000001,0.3432008,0.546716306,0.0566559618082567,0.9433440381917433,0.18521717356829473,0.551126,0.515
0.7601803999999999,0.34563980000000005,0.5446192879999999,0.05796581094289191,0.9420341890571081,0.18726937269372693,0.55284,0.52
0.7569848,0.3485086,0.5425347949999999,0.059601460116091194,0.9403985398839088,0.18974360822847092,0.554854,0.525
0.7532748,0.3518536,0.5405215640000001,0.06152301544558142,0.9384769845544185,0.1925908377931163,0.557202,0.53
0.7485376000000001,0.35602419999999996,0.5385429309999998,0.06389670144083405,0.936103298559166,0.19620802313748595,0.56013,0.535
0.7427164000000002,0.3610198,0.5366002360000001,0.06679565688601653,0.9332043431139835,0.20061883910892847,0.563636,0.54
0.7352915999999999,0.3673592,0.5347684420000001,0.0698741348014282,0.9301258651985718,0.20620033867396118,0.568098,0.545
0.7243352,0.3764024,0.5329721599999999,0.07422256796920192,0.9257774320307981,0.2143319685828877,0.574464,0.55
0.7067572,0.3906294,0.5313062709999999,0.08027978909434239,0.9197202109056576,0.22709479620048725,0.584496,0.555
0.6655488,0.4233146,0.529897648,0.08961495754626028,0.9103850424537397,0.25569990224507194,0.607642,0.56
0.442232,0.597259,0.5298222549999999,0.10739433107932898,0.8926056689206711,0.38124636024858305,0.731506,0.565
0.398948,0.630097,0.5307029299999999,0.18017407030631852,0.8198259296936815,0.39889407723407816,0.753398,0.57
-0.093936,1.0,0.5350772,1.0,0.0,0.546968,1.0,0.575
-0.093936,1.0,0.5405468800000002,1.0,0.0,0.546968,1.0,0.58
-0.093936,1.0,0.54601656,1.0,0.0,0.546968,1.0,0.585
-0.093936,1.0,0.5514862399999998,1.0,0.0,0.546968,1.0,0.59
-0.093936,1.0,0.5569559199999999,1.0,0.0,0.546968,1.0,0.595
-0.093936,1.0,0.5624256,1.0,0.0,0.546968,1.0,0.6
-0.093936,1.0,0.56789528,1.0,0.0,0.546968,1.0,0.605
-0.093936,1.0,0.5733649599999999,1.0,0.0,0.546968,1.0,0.61
-0.093936,1.0,0.5788346400000002,1.0,0.0,0.546968,1.0,0.615
-0.093936,1.0,0.5843043200000001,1.0,0.0,0.546968,1.0,0.62
-0.093936,1.0,0.589774,1.0,0.0,0.546968,1.0,0.625
-0.093936,1.0,0.5952436799999999,1.0,0.0,0.546968,1.0,0.63
-0.093936,1.0,0.6007133599999999,1.0,0.0,0.546968,1.0,0.635
-0.093936,1.0,0.60618304,1.0,0.0,0.546968,1.0,0.64
-0.093936,1.0,0.6116527199999999,1.0,0.0,0.546968,1.0,0.645
-0.093936,1.0,0.6171224000000001,1.0,0.0,0.546968,1.0,0.65
-0.093936,1.0,0.6225920800000001,1.0,0.0,0.546968,1.0,0.655
-0.093936,1.0,0.6280617600000002,1.0,0.0,0.546968,1.0,0.66
-0.093936,1.0,0.6335314400000001,1.0,0.0,0.546968,1.0,0.665
-0.093936,1.0,0.6390011199999999,1.0,0.0,0.546968,1.0,0.67
-0.093936,1.0,0.6444707999999999,1.0,0.0,0.546968,1.0,0.675
-0.093936,1.0,0.6499404799999999,1.0,0.0,0.546968,1.0,0.68
-0.093936,1.0,0.6554101600000002,1.0,0.0,0.546968,1.0,0.685
-0.093936,1.0,0.6608798399999999,1.0,0.0,0.546968,1.0,0.69
-0.093936,1.0,0.66634952,1.0,0.0,0.546968,1.0,0.695
-0.093936,1.0,0.6718192000000001,1.0,0.0,0.546968,1.0,0.7
-0.093936,1.0,0.6718192000000001,1.0,0.0,0.546968,1.0,0.7
-0.093936,1.0,0.726516,1.0,0.0,0.546968,1.0,0.75
-0.093936,1.0,0.7812127999999999,1.0,0.0,0.546968,1.0,0.8
