seed,train_mix,eval_mix,regime,epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece
0,standard,standard,scalar,0.79,0.353,0.59335,0.043583535108958835,0.9564164648910412,0.1532934131736527,0.5566666666666666,0.11972191068706103
0,standard,standard,crs,0.8562666666666666,0.2315333333333333,0.5751366666666667,0.0387409200968523,0.9612590799031477,0.02695035460992908,0.47,0.01575854047202368
0,standard,high_insuff,scalar,0.8884,-0.014533333333333327,0.48208000000000006,0.04152637485970819,0.9584736251402918,0.13924050632911392,0.316,0.09826813758756894
0,standard,high_insuff,crs,0.9266666666666666,-0.084,0.4718666666666667,0.03479236812570146,0.9652076318742986,0.0175,0.26666666666666666,0.015552399816274981
0,standard,high_suff,scalar,0.7201333333333334,0.5829333333333333,0.6583933333333333,0.0364963503649635,0.9635036496350365,0.17630597014925373,0.7146666666666667,0.1513073798079391
0,standard,high_suff,crs,0.8086666666666666,0.42233333333333334,0.6348166666666667,0.032846715328467155,0.9671532846715328,0.03777777777777778,0.6,0.022007075465645964
0,standard,balanced,scalar,0.8116000000000001,0.27719999999999995,0.5711200000000001,0.043478260869565216,0.9565217391304348,0.14398943196829592,0.5046666666666667,0.10716169380718264
0,standard,balanced,crs,0.8713333333333333,0.17066666666666666,0.5560333333333334,0.0391304347826087,0.9608695652173913,0.024883359253499222,0.42866666666666664,0.016247677356496657
0,standard,ambiguous_heavy,scalar,0.804,0.25533333333333336,0.5571,0.0364963503649635,0.9635036496350365,0.1317614424410541,0.4806666666666667,0.08350185353038682
0,standard,ambiguous_heavy,crs,0.8690666666666667,0.14513333333333334,0.5432966666666666,0.032846715328467155,0.9671532846715328,0.01824212271973466,0.402,0.01760477236637885
0,high_insuff,high_insuff,scalar,0.8802666666666668,-0.029466666666666665,0.4708866666666668,0.03502824858757062,0.9649717514124294,0.15065502183406113,0.30533333333333335,0.10821458110265306
0,high_insuff,high_insuff,crs,0.8730666666666667,-0.018866666666666664,0.4716966666666667,0.04067796610169491,0.9593220338983051,0.15991471215351813,0.31266666666666665,0.12689126920236843
0,high_suff,high_suff,scalar,0.7158666666666667,0.5573999999999999,0.6445566666666667,0.03741496598639456,0.9625850340136054,0.18738049713193117,0.6973333333333334,0.16746569459171495
0,high_suff,high_suff,crs,0.807,0.39686666666666665,0.62244,0.023809523809523808,0.9761904761904762,0.11217948717948718,0.624,0.05328324979426812
0,balanced,balanced,scalar,0.8134666666666666,0.23993333333333333,0.5553766666666667,0.03711340206185567,0.9628865979381444,0.14881780250347706,0.47933333333333333,0.11849764564264664
0,balanced,balanced,crs,0.86,0.14533333333333334,0.5384,0.026804123711340205,0.9731958762886598,0.043689320388349516,0.412,0.014871265269468411
0,ambiguous_heavy,ambiguous_heavy,scalar,0.81,0.20666666666666667,0.5385,0.047619047619047616,0.9523809523809523,0.12686567164179105,0.44666666666666666,0.08157789063389431
0,ambiguous_heavy,ambiguous_heavy,crs,0.8552,0.11673333333333334,0.5228900000000001,0.030612244897959183,0.9693877551020408,0.04355400696864112,0.38266666666666665,0.013943243432378863
1,standard,standard,scalar,0.7842666666666668,0.3302,0.5799366666666667,0.04241071428571429,0.9575892857142857,0.16482164821648215,0.542,0.12821162869758349
1,standard,standard,crs,0.8481333333333332,0.20959999999999998,0.5607933333333334,0.03571428571428571,0.9642857142857143,0.038011695906432746,0.456,0.016700155603586717
1,standard,high_insuff,scalar,0.8793333333333333,-0.026,0.47193333333333337,0.028312570781426953,0.9716874292185731,0.15584415584415584,0.308,0.11008268122034823
1,standard,high_insuff,crs,0.9162666666666667,-0.08879999999999999,0.46398666666666677,0.02378255945639864,0.9762174405436014,0.0379746835443038,0.2633333333333333,0.015140973568283218
1,standard,high_suff,scalar,0.7072000000000002,0.5557333333333333,0.6390399999999999,0.04938271604938271,0.9506172839506173,0.1931166347992352,0.6973333333333334,0.16419741804985954
1,standard,high_suff,crs,0.8014666666666667,0.39126666666666665,0.6168766666666666,0.040123456790123455,0.9598765432098766,0.04252873563218391,0.58,0.02472144561662391
1,standard,balanced,scalar,0.7968000000000001,0.24926666666666666,0.55041,0.03909465020576132,0.9609053497942387,0.1646090534979424,0.486,0.12284631410321913
