epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,tau,seed,final_lambda
0.43333333333333335,0.6083333333333333,0.5120833333333334,0.08560311284046693,0.914396887159533,0.38345864661654133,0.7388888888888889,0.3329504304058782,0.0,0,1.4538266225961542
-0.13333333333333333,1.0,0.37666666666666665,1.0,0.0,0.5666666666666667,1.0,0.560457686693403,0.0,1,1.139711538461538
-0.03777777777777778,1.0,0.4292222222222222,1.0,0.0,0.5188888888888888,1.0,0.5132952678724025,0.0,2,1.3740399639423058
-0.06666666666666667,1.0,0.41333333333333333,1.0,0.0,0.5333333333333333,1.0,0.5283986126573346,0.0,3,0.6965384615384612
-0.10222222222222223,1.0,0.3937777777777777,1.0,0.0,0.5511111111111111,1.0,0.5316176431259226,0.0,4,1.6764978966346151
-0.08888888888888889,1.0,0.4011111111111111,1.0,0.0,0.5444444444444444,1.0,0.5381307442043982,0.0,5,0.8692503004807707
-0.09777777777777778,1.0,0.39622222222222225,1.0,0.0,0.5488888888888889,1.0,0.5430033337112526,0.0,6,1.2759194711538466
-0.12444444444444444,1.0,0.38155555555555554,1.0,0.0,0.5622222222222222,1.0,0.5542187031900319,0.0,7,1.3160817307692314
-0.07111111111111111,1.0,0.4108888888888889,1.0,0.0,0.5355555555555556,1.0,0.5219837143954911,0.0,8,0.25183743990384433
-0.06444444444444444,1.0,0.41455555555555557,1.0,0.0,0.5322222222222223,1.0,0.5262096356665796,0.0,9,0.935817307692308
-0.09333333333333334,1.0,0.3986666666666666,1.0,0.0,0.5466666666666666,1.0,0.5238579796303366,0.0,10,1.595856370192307
-0.035555555555555556,1.0,0.43044444444444446,1.0,0.0,0.5177777777777778,1.0,0.5128632927135003,0.0,11,0.3551682692307692
-0.1,1.0,0.395,1.0,0.0,0.55,1.0,0.5415391502536296,0.0,12,1.3296634615384628
-0.10222222222222223,1.0,0.3937777777777777,1.0,0.0,0.5511111111111111,1.0,0.5453309900735341,0.0,13,0.4890459735576921
-0.04,1.0,0.42800000000000005,1.0,0.0,0.52,1.0,0.5041222603873363,0.0,14,1.5554897836538473
-0.13111111111111112,0.995,0.37563888888888886,0.9894366197183099,0.01056338028169014,0.5674470457079153,0.9966666666666667,0.5290950949728752,0.0,15,1.626624098557692
-0.06,1.0,0.4170000000000001,1.0,0.0,0.53,1.0,0.5224326430706132,0.0,16,1.3196950120192312
-0.1,1.0,0.395,1.0,0.0,0.55,1.0,0.5447742344256165,0.0,17,0.6048813100961538
-0.044444444444444446,1.0,0.4255555555555556,1.0,0.0,0.5222222222222223,1.0,0.5170722083682462,0.0,18,1.2858188100961523
-0.11777777777777777,1.0,0.3852222222222223,1.0,0.0,0.5588888888888889,1.0,0.5414370636622265,0.0,19,1.5054131610576913
-0.08888888888888889,1.0,0.4011111111111111,1.0,0.0,0.5444444444444444,1.0,0.538911225424621,0.0,20,1.0518765024038468
0.42877777777777776,0.5783333333333334,0.4960777777777778,0.07063197026022305,0.929368029739777,0.3956723338485317,0.7188888888888889,0.32924945318318455,0.0,21,1.3982061298076924
-0.09777777777777778,1.0,0.39622222222222225,1.0,0.0,0.5488888888888889,1.0,0.5395342575159656,0.0,22,1.4047475961538465
-0.08444444444444445,1.0,0.40355555555555556,1.0,0.0,0.5422222222222223,1.0,0.5376256626871737,0.0,23,0.8862530048076924
-0.11777777777777777,1.0,0.3852222222222222,1.0,0.0,0.5588888888888889,1.0,0.5541425603261805,0.0,24,0.7953290264423076
-0.03777777777777778,1.0,0.4292222222222222,1.0,0.0,0.5188888888888888,1.0,0.5131638609190238,0.0,25,1.1095027043269223
-0.04,1.0,0.42800000000000005,1.0,0.0,0.52,1.0,0.5151857048929219,0.0,26,0.9277118389423082
-0.042222222222222223,1.0,0.4267777777777778,1.0,0.0,0.5211111111111111,1.0,0.515497041557546,0.0,27,1.3132286658653851
-0.03333333333333333,1.0,0.43166666666666664,1.0,0.0,0.5166666666666667,1.0,0.511867582444014,0.0,28,0.9816932091346153
