w_s,scalar_mean,scalar_ci,ucr_mean,ucr_ci,risk_mean,risk_ci
0.0,0.8529166666666667,0.005365724648232491,0.01698927040297914,0.0056492925258725965,0.04540081245877453,0.007134777012507181
0.1,0.7878799999999999,0.0047118728919137475,0.02772097637310541,0.00616923906144455,0.0512535192277775,0.007665107386146608
0.2,0.7230611111111112,0.004886240942392068,0.034133288538377785,0.00639963419947681,0.13834468696782404,0.01354503365398822
0.3,0.6654872222222222,0.005013358384624377,0.03877841312264678,0.006120986084974545,0.15743045488577073,0.00712574801416495
0.4,0.608988888888889,0.005634341063261432,0.043376770777784755,0.00582922483228738,0.16264734010721654,0.00689359596788366
0.45,0.5819602777777778,0.005906448818829663,0.04689854637459491,0.006441825996405156,0.16670888917713708,0.006992653014980768
0.5,0.5568583333333333,0.00607728304747412,0.05462052789931319,0.0070214801484715025,0.17691678408359748,0.008323399147690378
0.52,0.5485208888888888,0.0062064056045394115,0.058660876603942126,0.006365191331264931,0.1806214109322185,0.008551717209325082
0.55,0.5353141666666665,0.006266307837026171,0.0768936397223955,0.01306942746023627,0.24601674115242286,0.03167489571400531
0.58,0.54416,0.005817346608909184,1.0,0.0,0.5426666666666666,0.006925412629653783
0.6,0.5658666666666667,0.005540330103723031,1.0,0.0,0.5426666666666666,0.006925412629653783
0.65,0.6201333333333333,0.004847788840757657,1.0,0.0,0.5426666666666666,0.006925412629653783
0.7,0.6744000000000001,0.004155247577792267,1.0,0.0,0.5426666666666666,0.006925412629653783
0.8,0.7829333333333333,0.0027701650518615105,1.0,0.0,0.5426666666666666,0.006925412629653783
