epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,constraint_enforced,seed
0.86,0.17875,0.5534375,0.024193548387096774,0.9758064516129032,0.02681992337164751,0.435,0.019187698612371143,True,0
-0.10333333333333333,1.0,0.3931666666666666,1.0,0.0,0.5516666666666666,1.0,0.5508424877368487,False,0
0.8508333333333333,0.20875,0.5618958333333334,0.023936170212765957,0.976063829787234,0.043795620437956206,0.45666666666666667,0.014836017792075176,True,1
-0.09833333333333333,1.0,0.39591666666666664,1.0,0.0,0.5491666666666667,1.0,0.5483847672150253,False,1
0.8476666666666667,0.20783333333333331,0.5597416666666667,0.011299435028248588,0.9887005649717514,0.0347985347985348,0.455,0.015187759592918106,True,2
-0.06333333333333334,1.0,0.4151666666666667,1.0,0.0,0.5316666666666666,1.0,0.5308988626469595,False,2
0.86425,0.1895833333333333,0.56065,0.020348837209302327,0.9796511627906976,0.03717472118959108,0.4483333333333333,0.024772622943724038,True,3
-0.07833333333333334,1.0,0.40691666666666665,1.0,0.0,0.5391666666666667,1.0,0.538361650572773,False,3
0.8491666666666666,0.23083333333333333,0.5709166666666667,0.022099447513812154,0.9779005524861878,0.045936395759717315,0.4716666666666667,0.027846151836790723,True,4
-0.06166666666666667,1.0,0.41608333333333336,1.0,0.0,0.5308333333333334,1.0,0.5300180099984373,False,4
0.871,0.21324999999999997,0.5750125,0.011142061281337047,0.9888579387186629,0.025408348457350273,0.45916666666666667,0.01376569760025304,True,5
-0.06,1.0,0.417,1.0,0.0,0.53,1.0,0.5290938485893909,False,5
0.8538333333333332,0.19183333333333333,0.5559333333333334,0.019830028328611898,0.9801699716713881,0.03007518796992481,0.44333333333333336,0.009908683692553964,True,6
-0.10166666666666667,1.0,0.39408333333333334,1.0,0.0,0.5508333333333333,1.0,0.5500894533303315,False,6
0.8495,0.2031666666666667,0.5586500000000001,0.025069637883008356,0.9749303621169917,0.033210332103321034,0.45166666666666666,0.009934161547327614,True,7
-0.08,1.0,0.4059999999999999,1.0,0.0,0.54,1.0,0.5391793805366762,False,7
0.8651666666666668,0.19825,0.5650541666666667,0.0160857908847185,0.9839142091152815,0.03896103896103896,0.44916666666666666,0.02499173284057806,True,8
-0.09166666666666666,1.0,0.3995833333333333,1.0,0.0,0.5458333333333333,1.0,0.5450721026346041,False,8
0.8411666666666665,0.19441666666666668,0.5501291666666667,0.03513513513513514,0.9648648648648649,0.04299065420560748,0.44583333333333336,0.009416001427423569,True,9
-0.10666666666666667,1.0,0.3913333333333333,1.0,0.0,0.5533333333333333,1.0,0.5524526580951021,False,9
0.843,0.24183333333333332,0.5724750000000001,0.026239067055393587,0.9737609329446064,0.05574912891986063,0.47833333333333333,0.027636641283589086,True,10
-0.05,1.0,0.4225,1.0,0.0,0.525,1.0,0.5242574079314815,False,10
0.8536666666666668,0.24649999999999997,0.5804416666666667,0.037463976945244955,0.962536023054755,0.03460207612456748,0.4816666666666667,0.016795369498476508,True,11
-0.03333333333333333,1.0,0.43166666666666664,1.0,0.0,0.5166666666666667,1.0,0.5159144658951091,False,11
0.8653333333333334,0.18941666666666668,0.5611708333333333,0.0234375,0.9765625,0.03383458646616541,0.44333333333333336,0.012416132737381642,True,12
-0.105,1.0,0.39225,1.0,0.0,0.5525,1.0,0.5517698231672655,False,12
0.844,0.26466666666666666,0.5833,0.023952095808383235,0.9760479041916168,0.05227655986509275,0.49416666666666664,0.03187330079909231,True,13
-0.018333333333333333,1.0,0.43991666666666657,1.0,0.0,0.5091666666666667,1.0,0.5084118437465533,False,13
0.8481666666666666,0.259,0.5830416666666668,0.03428571428571429,0.9657142857142857,0.11954765751211632,0.5158333333333334,0.06135544942011204,True,14
-0.05333333333333334,1.0,0.42066666666666663,1.0,0.0,0.5266666666666666,1.0,0.5259000320076463,False,14
