epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,w_s,seed
0.8585555555555556,0.175,0.8585555555555556,0.023346303501945526,0.9766536964980544,0.0325,0.4444444444444444,0.03243451347823169,0.0,0
0.8513333333333334,0.11699999999999999,0.8513333333333334,0.04452054794520548,0.9554794520547946,0.04336043360433604,0.41,0.04291005176910566,0.0,1
0.8694444444444445,0.18266666666666667,0.8694444444444445,0.018315018315018316,0.9816849816849816,0.02926829268292683,0.45555555555555555,0.03622382655297235,0.0,2
0.8470000000000001,0.19677777777777777,0.8470000000000001,0.015209125475285171,0.9847908745247148,0.06220095693779904,0.46444444444444444,0.03661058440940142,0.0,3
0.8363333333333334,0.18388888888888888,0.8363333333333334,0.03861003861003861,0.9613899613899614,0.06845965770171149,0.45444444444444443,0.04379172433915085,0.0,4
0.8472222222222222,0.17555555555555555,0.8472222222222222,0.0037174721189591076,0.9962825278810409,0.056790123456790124,0.45,0.02601012461489218,0.0,5
0.8427777777777777,0.20222222222222222,0.8427777777777777,0.019762845849802372,0.9802371541501976,0.0673076923076923,0.4622222222222222,0.0469007496931947,0.0,6
0.8368888888888889,0.13411111111111113,0.8368888888888889,0.011278195488721804,0.9887218045112782,0.056,0.4166666666666667,0.03666125672797792,0.0,7
0.8702222222222222,0.1806666666666667,0.8702222222222222,0.033962264150943396,0.9660377358490566,0.02531645569620253,0.4388888888888889,0.018556251249431277,0.0,8
0.8271111111111112,-0.07111111111111111,0.8271111111111112,0.0,1.0,0.019801980198019802,0.4488888888888889,0.02094614705738465,0.0,9
0.8706666666666666,0.15244444444444444,0.8706666666666666,0.007246376811594203,0.9927536231884058,0.015706806282722512,0.42444444444444446,0.024700689555215042,0.0,10
0.8544444444444445,0.21166666666666667,0.8544444444444445,0.0,1.0,0.03357314148681055,0.4633333333333333,0.025536920419006837,0.0,11
0.8468888888888889,0.16933333333333334,0.8468888888888889,0.0038022813688212928,0.9961977186311787,0.06234413965087282,0.44555555555555554,0.028635841958795157,0.0,12
0.8554444444444446,0.17877777777777779,0.8554444444444446,0.024822695035460994,0.975177304964539,0.061274509803921566,0.4533333333333333,0.037962042646376745,0.0,13
0.8684444444444446,0.1798888888888889,0.8684444444444446,0.007662835249042145,0.9923371647509579,0.041666666666666664,0.4533333333333333,0.025874822593497833,0.0,14
0.8482222222222222,0.1416666666666667,0.8482222222222222,0.017605633802816902,0.9823943661971831,0.037037037037037035,0.42,0.022572357402887322,0.0,15
0.867,0.17888888888888888,0.867,0.01858736059479554,0.9814126394052045,0.04433497536945813,0.45111111111111113,0.0288446748012401,0.0,16
0.8476666666666668,0.15311111111111111,0.8476666666666668,0.01107011070110701,0.988929889298893,0.03896103896103896,0.42777777777777776,0.03816897268721664,0.0,17
0.8567777777777777,0.1837777777777778,0.8567777777777777,0.03296703296703297,0.967032967032967,0.04914004914004914,0.45222222222222225,0.026653999330955448,0.0,18
0.8558888888888888,0.1686666666666667,0.8558888888888888,0.0072992700729927005,0.9927007299270073,0.06297229219143577,0.4411111111111111,0.04517079509377719,0.0,19
0.8460000000000001,0.21033333333333332,0.7824333333333331,0.04669260700389105,0.953307392996109,0.050239234449760764,0.46444444444444444,0.03009704109419452,0.1,0
0.8501111111111112,0.16322222222222224,0.7814222222222222,0.05821917808219178,0.9417808219178082,0.05063291139240506,0.4388888888888889,0.04306883809881392,0.1,1
0.8684444444444445,0.189,0.8004999999999999,0.02197802197802198,0.978021978021978,0.027160493827160494,0.45,0.015152965729403204,0.1,2
0.844888888888889,0.24055555555555555,0.7844555555555555,0.03802281368821293,0.9619771863117871,0.06666666666666667,0.48333333333333334,0.053544576055286695,0.1,3
0.837888888888889,0.18177777777777773,0.7722777777777777,0.04247104247104247,0.9575289575289575,0.04975124378109453,0.44666666666666666,0.02329074399753852,0.1,4
0.8465555555555556,0.21344444444444444,0.7832444444444444,0.022304832713754646,0.9776951672862454,0.08333333333333333,0.48,0.06806326171556033,0.1,5
0.8406666666666667,0.2088888888888889,0.7774888888888888,0.043478260869565216,0.9565217391304348,0.05084745762711865,0.4588888888888889,0.032401188614348285,0.1,6
0.8405555555555555,0.16055555555555556,0.7725555555555556,0.011278195488721804,0.9887218045112782,0.038860103626943004,0.4288888888888889,0.02139889176658647,0.1,7
0.8696666666666667,0.218,0.8045,0.033962264150943396,0.9660377358490566,0.04028436018957346,0.4688888888888889,0.02759815728867453,0.1,8
0.8653333333333333,0.2063333333333333,0.7994333333333333,0.011029411764705883,0.9889705882352942,0.052256532066508314,0.4677777777777778,0.030102268916573936,0.1,9
0.87,0.16566666666666668,0.7995666666666665,0.010869565217391304,0.9891304347826086,0.035897435897435895,0.43333333333333335,0.017527737696139488,0.1,10
0.855,0.22633333333333333,0.7921333333333335,0.03065134099616858,0.9693486590038314,0.037383177570093455,0.47555555555555556,0.027148030806594597,0.1,11
0.8418888888888889,0.19666666666666666,0.7773666666666665,0.0038022813688212928,0.9961977186311787,0.1011764705882353,0.4722222222222222,0.07011972369945715,0.1,12
0.8526666666666668,0.17322222222222225,0.7847222222222222,0.024822695035460994,0.975177304964539,0.0379746835443038,0.4388888888888889,0.01599436819903842,0.1,13
0.87,0.22322222222222224,0.805322222222222,0.038314176245210725,0.9616858237547893,0.04439252336448598,0.47555555555555556,0.029708913423775005,0.1,14
0.8477777777777777,0.14455555555555555,0.7774555555555555,0.02464788732394366,0.9753521126760564,0.03439153439153439,0.42,0.016118284850645894,0.1,15
0.8667777777777778,0.19855555555555557,0.7999555555555554,0.01486988847583643,0.9851301115241635,0.05238095238095238,0.4666666666666667,0.022947975907829977,0.1,16
0.8483333333333334,0.17433333333333334,0.7809333333333333,0.02214022140221402,0.977859778597786,0.059850374064837904,0.44555555555555554,0.03570848133375576,0.1,17
0.8607777777777779,0.20444444444444446,0.7951444444444443,0.03296703296703297,0.967032967032967,0.04739336492890995,0.4688888888888889,0.04683756117310646,0.1,18
0.8535555555555556,0.1848888888888889,0.7866888888888889,0.021897810218978103,0.9781021897810219,0.06419753086419754,0.45,0.05174679691070011,0.1,19
0.8361111111111111,0.2552222222222223,0.7199333333333334,0.04669260700389105,0.953307392996109,0.1574468085106383,0.5222222222222223,0.15190525275932593,0.2,0
0.8323333333333334,0.23122222222222222,0.7121111111111111,0.07191780821917808,0.928082191780822,0.17105263157894737,0.5066666666666667,0.1538013453914587,0.2,1
0.8544444444444445,0.26266666666666666,0.7360888888888889,0.040293040293040296,0.9597069597069597,0.1407563025210084,0.5288888888888889,0.1293503645548555,0.2,2
0.8356666666666667,0.2867777777777778,0.7258888888888888,0.03802281368821293,0.9619771863117871,0.15082644628099173,0.5377777777777778,0.13570421434772373,0.2,3
