epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,tau,lambda
0.0,0.929545,0.41829525,0.8438486958024987,0.1561513041975013,0.5246424561661228,0.95303,0.0,0.7500037361480876
0.1,0.854545,0.43954525,0.6776241863310262,0.3223758136689739,0.49832231487326,0.90303,0.1,0.7500255773538329
0.2,0.779539,0.46079255,0.5113863788987959,0.48861362110120415,0.4689188840668397,0.853026,0.2,0.750117706789732
0.3,0.7045,0.482025,0.34507543268239815,0.6549245673176018,0.43586550435865506,0.803,0.3,0.7505660163115209
0.4,0.629305,0.5031872500000001,0.17841873948629977,0.8215812605137002,0.39847516835575864,0.75287,0.4,0.7545021890156443
0.5000008,0.5523736,0.5235685600000001,0.09664292980671414,0.9033570701932858,0.3532206335503862,0.699676,0.5,0.7778510296222692
0.6000012000000001,0.47456239999999994,0.54355374,0.09508706839806116,0.9049129316019389,0.2975051620014593,0.64413,0.6,0.7793077272518469
0.6500008,0.43550059999999996,0.5534757100000001,0.09167614146370653,0.9083238585362935,0.26602542260125717,0.616302,0.65,0.7831348142706831
0.7000016,0.39605719999999994,0.56322662,0.08218804646307488,0.9178119535369251,0.23190987401671165,0.588332,0.7,0.797721423626691
0.7500015999999999,0.35471820000000004,0.5721240700000001,0.0631121217561287,0.9368878782438713,0.19509883515076518,0.559214,0.75,0.8741222489536917
0.8000018000000001,0.306153,0.57776984,0.05200832452343433,0.9479916754765657,0.1783714975384638,0.545188,0.8,1.034200499554202
0.8500002,0.196831,0.55607406,0.03022626480229257,0.9697737351977074,0.06249104945906185,0.460866,0.85,6.472269329850526
0.8522750000000001,0.16406720000000002,0.54258149,0.01059182574352223,0.9894081742564778,0.04360520904729267,0.4377,0.9,200.0
0.8522750000000001,0.16406720000000002,0.54258149,0.01059182574352223,0.9894081742564778,0.04360520904729267,0.4377,0.95,200.0
