epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,regime,seed,final_lambda
0.7733333333333333,0.3116666666666667,0.5655833333333333,0.03289473684210526,0.9671052631578947,0.17632241813602015,0.5293333333333333,0.13831246282376108,scalar,0,0.0
0.8354666666666666,0.1892666666666667,0.5446766666666667,0.02850877192982456,0.9714912280701754,0.05731523378582202,0.442,0.03660362467626001,crs,0,4.897935014204541
0.8057333333333334,-0.10613333333333334,0.3953933333333334,0.0,1.0,0.12828947368421054,0.4053333333333333,0.0806811294747463,oracle,0,0.0
0.7829333333333334,0.3305333333333333,0.5793533333333333,0.027522935779816515,0.9724770642201835,0.16728167281672818,0.542,0.1362016009681719,scalar,1,0.0
0.8291999999999999,0.22573333333333334,0.55764,0.01834862385321101,0.981651376146789,0.06990014265335236,0.4673333333333333,0.043056528372005985,crs,1,3.972679332386362
0.8025333333333334,-0.08026666666666667,0.4052733333333333,0.0,1.0,0.14678899082568808,0.436,0.07993622280394894,oracle,1,0.0
0.7916000000000001,0.34386666666666665,0.5901200000000001,0.037694013303769404,0.9623059866962306,0.15579710144927536,0.552,0.12496849981532221,scalar,2,0.0
0.8513333333333334,0.22233333333333333,0.5682833333333333,0.031042128603104215,0.9689578713968958,0.03008595988538682,0.4653333333333333,0.01640430587303468,crs,2,4.905237926136354
0.8502,0.19533333333333333,0.55551,0.015521064301552107,0.9844789356984479,0.047128129602356406,0.45266666666666666,0.07242210905203184,oracle,2,0.0
0.7602666666666668,0.32986666666666664,0.5665866666666668,0.03655913978494624,0.9634408602150538,0.1891891891891892,0.5426666666666666,0.1490730184411272,scalar,3,0.0
0.8349333333333334,0.21406666666666668,0.5555433333333334,0.025806451612903226,0.9741935483870968,0.11173184357541899,0.47733333333333333,0.05384864054410436,crs,3,5.077501775568177
0.8394000000000001,0.16913333333333336,0.53778,0.004301075268817204,0.9956989247311828,0.09759759759759759,0.444,0.08963183383944312,oracle,3,0.0
0.7804,0.3198,0.57313,0.046460176991150445,0.9535398230088495,0.16832917705735662,0.5346666666666666,0.13412763284693618,scalar,4,0.0
0.8377333333333332,0.20379999999999998,0.5524633333333334,0.03761061946902655,0.9623893805309734,0.05457227138643068,0.452,0.03868884315340662,crs,4,4.467334872159091
0.8051333333333334,-0.08806666666666667,0.4031933333333333,0.0,0.9933628318584071,0.1310452418096724,0.42733333333333334,0.07271693728144141,oracle,4,0.0
0.7933333333333333,0.31466666666666665,0.5779333333333334,0.0457516339869281,0.954248366013072,0.15934755332496864,0.5313333333333333,0.12902736178068425,scalar,5,0.0
0.8547999999999999,0.20326666666666668,0.5616099999999999,0.034858387799564274,0.9651416122004357,0.03982300884955752,0.452,0.018961874839395685,crs,5,4.29234019886364
0.8218,-0.08606666666666668,0.4132599999999999,0.0,1.0,0.0913312693498452,0.43066666666666664,0.054390479568534406,oracle,5,0.0
0.7744000000000001,0.34579999999999994,0.58153,0.03233256351039261,0.9676674364896074,0.1712907117008444,0.5526666666666666,0.13696432203930958,scalar,6,0.0
0.8364666666666666,0.24586666666666668,0.5706966666666666,0.020785219399538105,0.9792147806004619,0.1202113606340819,0.5046666666666667,0.06223098945856494,crs,6,5.006443536931825
0.8030666666666667,-0.07513333333333333,0.4078766666666667,0.0,0.9953810623556582,0.11010558069381599,0.442,0.051276810746330066,oracle,6,0.0
0.7772,0.32439999999999997,0.5734400000000001,0.03463203463203463,0.9653679653679653,0.1745049504950495,0.5386666666666666,0.14460233304790346,scalar,7,0.0
0.8410666666666666,0.20746666666666666,0.5559466666666667,0.025974025974025976,0.974025974025974,0.04978038067349927,0.4553333333333333,0.0345306076745193,crs,7,5.113794389204548
0.8067333333333333,-0.0772,0.4089633333333333,0.0,1.0,0.12368024132730016,0.442,0.06311777351339301,oracle,7,0.0
0.7858666666666668,0.3050666666666667,0.5695066666666666,0.02643171806167401,0.973568281938326,0.16645489199491742,0.5246666666666666,0.1314951581809486,scalar,8,0.0
0.8537333333333335,0.17880000000000004,0.5500133333333334,0.01762114537444934,0.9823788546255506,0.029141104294478526,0.43466666666666665,0.018919544539715588,crs,8,4.946047585227272
0.8151333333333333,-0.08839999999999999,0.40854333333333337,0.0,1.0,0.0998439937597504,0.42733333333333334,0.044207215366539536,oracle,8,0.0
0.7777333333333333,0.32013333333333327,0.5718133333333334,0.0273972602739726,0.9726027397260274,0.17206982543640897,0.5346666666666666,0.13732298333708226,scalar,9,0.0
0.8482666666666667,0.1985333333333333,0.5558866666666668,0.0182648401826484,0.9817351598173516,0.03869047619047619,0.448,0.018399967867514768,crs,9,4.942183948863642
0.8532666666666667,0.15533333333333332,0.5391966666666668,0.0091324200913242,0.9908675799086758,0.04113924050632911,0.42133333333333334,0.06378124048495697,oracle,9,0.0
